held_out_drug,model,MAE,RMSE,MAPE,R2,MASE,Bias
ANL_001,Naive,5865.0,7594.9264,7.4365,-0.906,1.0,-5236.3333
ANL_001,ARIMA,5834.861,7533.3463,7.395,-0.8752,0.9949,-5147.1577
ANL_001,Analog_Only,4021.4558,5237.6621,4.7961,0.0935,0.6857,4021.4558
ANL_001,Bass_Only,2611.834,3085.8377,3.1526,0.6854,0.4453,0.4146
ANL_001,Analog_Bass_Static,2611.8131,3085.8377,3.1525,0.6854,0.4453,0.4122
ANL_001,Analog_Bass_Adaptive,2611.8131,3085.8377,3.1525,0.6854,0.4453,0.4122
ANL_002,Naive,7868.3333,10427.3273,12.2452,-1.3224,1.0,-7868.3333
ANL_002,ARIMA,7869.7801,10428.4127,12.2472,-1.3228,1.0002,-7869.7801
ANL_002,Analog_Only,1572.064,1941.8853,2.2987,0.9195,0.1998,825.6495
ANL_002,Bass_Only,1821.9951,1837.1124,2.6089,0.9279,0.2316,0.8511
ANL_002,Analog_Bass_Static,1821.9949,1837.1124,2.6089,0.9279,0.2316,0.8508
ANL_002,Analog_Bass_Adaptive,1821.9949,1837.1124,2.6089,0.9279,0.2316,0.8508
ANL_003,Naive,14974.6667,19512.5564,10.7304,-1.3758,1.0,-14848.6667
ANL_003,ARIMA,14964.079,19488.0723,10.7219,-1.3699,0.9993,-14815.9306
ANL_003,Analog_Only,6738.552,8648.6513,4.554,0.5333,0.45,6738.552
ANL_003,Bass_Only,3453.9848,4207.673,2.3025,0.8895,0.2307,0.402
ANL_003,Analog_Bass_Static,3454.0191,4207.673,2.3025,0.8895,0.2307,0.4021
ANL_003,Analog_Bass_Adaptive,3454.0191,4207.673,2.3025,0.8895,0.2307,0.4021
ANL_004,Naive,21998.0,26820.8423,16.24,-2.0553,1.0,-21998.0
ANL_004,ARIMA,22312.1871,27077.2132,16.456,-2.114,1.0143,-22312.1871
ANL_004,Analog_Only,16728.8681,19381.9084,11.9043,-0.5955,0.7605,16728.8681
ANL_004,Bass_Only,3816.5519,5266.2766,2.6162,0.8822,0.1735,-0.0431
ANL_004,Analog_Bass_Static,3815.5572,5266.8074,2.6144,0.8822,0.1735,0.0799
ANL_004,Analog_Bass_Adaptive,3815.5572,5266.8074,2.6144,0.8822,0.1735,0.0799
ANL_005,Naive,11608.8333,13694.2813,14.0408,-2.5539,1.0,-11608.8333
ANL_005,ARIMA,12152.7769,14152.8007,14.665,-2.7959,1.0469,-12152.7769
ANL_005,Analog_Only,3233.1083,4557.0133,3.8681,0.6065,0.2785,-3140.1492
ANL_005,Bass_Only,1461.116,1759.9203,1.6504,0.9413,0.1259,-0.1887
ANL_005,Analog_Bass_Static,1461.1179,1759.9203,1.6504,0.9413,0.1259,-0.1722
ANL_005,Analog_Bass_Adaptive,1461.1179,1759.9203,1.6504,0.9413,0.1259,-0.1722
ANL_006,Naive,32281.3333,38175.2715,24.5721,-2.5094,1.0,-32281.3333
ANL_006,ARIMA,36034.1349,41316.8451,27.1735,-3.1108,1.1163,-36034.1349
ANL_006,Analog_Only,3831.62,5366.4726,2.8397,0.9306,0.1187,-559.775
ANL_006,Bass_Only,3691.0775,4511.3308,2.4343,0.951,0.1143,-4.6681
ANL_006,Analog_Bass_Static,3691.0846,4511.3308,2.4343,0.951,0.1143,-4.6686
ANL_006,Analog_Bass_Adaptive,3691.0846,4511.3308,2.4343,0.951,0.1143,-4.6686
ANL_007,Naive,3693.0,4664.4561,10.6395,-1.6798,1.0,-3693.0
ANL_007,ARIMA,3993.3228,4898.0936,11.4514,-1.955,1.0813,-3993.3228
