drug_id,month,rx,rx_pct_of_peak
ANL_001,1,17733.0,0.2906810917137892
ANL_001,2,19828.0,0.32502253913613105
ANL_001,3,20403.0,0.33444799606589076
ANL_001,4,22172.0,0.3634456192115341
ANL_001,5,22072.0,0.36180640931070635
ANL_001,6,23922.0,0.39213179247602015
ANL_001,7,26430.0,0.4332431767887807
ANL_001,8,25642.0,0.42032620277025784
ANL_001,9,24862.0,0.40754036554380124
ANL_001,10,27193.0,0.44575034833209665
ANL_001,11,27942.0,0.4580280304892967
ANL_001,12,28144.0,0.4613392344889688
ANL_001,13,30677.0,0.5028604212769363
ANL_001,14,31462.0,0.5157282189984344
ANL_001,15,33559.0,0.5501024506187927
ANL_001,16,32691.0,0.5358741086796077
ANL_001,17,36505.0,0.598393574297179
ANL_001,18,33185.0,0.5439718055896968
ANL_001,19,38604.0,0.632800590115554
ANL_001,20,38803.0,0.6360626178182013
ANL_001,21,39900.0,0.6540447504302819
ANL_001,22,40632.0,0.6660437669043412
ANL_001,23,43029.0,0.705335628227183
ANL_001,24,44520.0,0.7297762478485251
ANL_001,25,44971.0,0.7371690845012583
ANL_001,26,46639.0,0.7645111056470656
ANL_001,27,48506.0,0.7951151544955202
ANL_001,28,47471.0,0.7781493320219527
ANL_001,29,50423.0,0.8265388082943886
ANL_001,30,48599.0,0.79663961970329
ANL_001,31,52891.0,0.866994508646818
ANL_001,32,55111.0,0.9033849684451947
ANL_001,33,53215.0,0.8723055487255
ANL_001,34,58631.0,0.9610851569543323
ANL_001,35,57120.0,0.9363166953528246
ANL_001,36,61005.0,0.9999999999999837
ANL_002,1,83575.0,0.30144926490744506
ANL_002,2,87214.0,0.3145748871030561
ANL_002,3,90776.0,0.32742277560560257
ANL_002,4,103398.0,0.37294945968172305
ANL_002,5,104467.0,0.3768052690049185
ANL_002,6,103539.0,0.37345803696382834
ANL_002,7,112850.0,0.4070421722381714
ANL_002,8,124205.0,0.4479988746375018
ANL_002,9,116154.0,0.41895947252239757
ANL_002,10,120588.0,0.43495260492562354
ANL_002,11,127721.0,0.4606808443104253
ANL_002,12,139619.0,0.5035961102855229
ANL_002,13,138015.0,0.4978105928351903
ANL_002,14,155492.0,0.5608489272986952
ANL_002,15,147324.0,0.5313875142473758
ANL_002,16,157430.0,0.5678391597293339
ANL_002,17,169973.0,0.6130808962502322
ANL_002,18,159911.0,0.5767879557357397
ANL_002,19,184576.0,0.6657529107933782
ANL_002,20,167096.0,0.602703755536637
ANL_002,21,185938.0,0.6706655509226506
ANL_002,22,206947.0,0.7464435659563391
ANL_002,23,197386.0,0.7119576979123058
ANL_002,24,193953.0,0.6995751035189195
ANL_002,25,203209.0,0.7329608575839307
ANL_002,26,223456.0,0.8059903911356033
ANL_002,27,214822.0,0.7748481482015814
ANL_002,28,221911.0,0.8004176826189177
ANL_002,29,207951.0,0.750064924759415
ANL_002,30,237785.0,0.8576741065631688
ANL_002,31,231657.0,0.8355708329125218
ANL_002,32,248412.0,0.8960049631371612
ANL_002,33,277244.0,0.9999999999999964
ANL_002,34,242112.0,0.8732812973409673
ANL_002,35,264756.0,0.9549566446884299
ANL_002,36,265359.0,0.9571316241289227
ANL_003,1,52718.0,0.060727537043244594
ANL_003,2,61886.0,0.07128844716146733
ANL_003,3,72435.0,0.08344017500146861
ANL_003,4,84584.0,0.09743499361253843
ANL_003,5,99999.0,0.1151920212600519
ANL_003,6,117083.0,0.13487162296813626
ANL_003,7,120724.0,0.1390658064040491
ANL_003,8,154416.0,0.1778766903158249
ANL_003,9,170910.0,0.19687665230207774
ANL_003,10,191983.0,0.22115130968878233
ANL_003,11,214635.0,0.24724486728018522
ANL_003,12,247914.0,0.28558000338667894
ANL_003,13,271279.0,0.31249488830293926
ANL_003,14,299953.0,0.34552537878395134
ANL_003,15,332065.0,0.38251621055929697
ANL_003,16,340399.0,0.39211640961310024
ANL_003,17,384508.0,0.44292696637626416
ANL_003,18,420517.0,0.48440687611089356
ANL_003,19,469949.0,0.5413491654830561
ANL_003,20,515031.0,0.5932805518213762
ANL_003,21,533934.0,0.615055517349819
ANL_003,22,595769.0,0.6862852159929586
ANL_003,23,583107.0,0.6716994564034149
ANL_003,24,571914.0,0.6588058845280585
ANL_003,25,625473.0,0.720502196157846
ANL_003,26,635906.0,0.7325202999169448
ANL_003,27,732859.0,0.844203537121575
ANL_003,28,720816.0,0.8303308232740885
ANL_003,29,740521.0,0.8530296380515295
ANL_003,30,746262.0,0.8596428781244698
ANL_003,31,798786.0,0.9201469404117223
ANL_003,32,770097.0,0.8870991709547315
ANL_003,33,832494.0,0.9589762552312088
ANL_003,34,805353.0,0.9277116760952268
ANL_003,35,806230.0,0.9287219202241187
ANL_003,36,868107.0,0.9999999999999988
ANL_004,1,54027.0,0.3193613600359379
ANL_004,2,52945.0,0.31296550256543454
ANL_004,3,61215.0,0.3618506608658622
ANL_004,4,61925.0,0.36604757288439954
ANL_004,5,58881.0,0.34805405149788177
ANL_004,6,67790.0,0.40071643061499307
ANL_004,7,68869.0,0.4070945546544322
ANL_004,8,71493.0,0.422605395691956
ANL_004,9,75162.0,0.44429338188352424
ANL_004,10,76109.0,0.4498912349561367
ANL_004,11,78334.0,0.4630435296621163
ANL_004,12,87718.0,0.518513702031066
ANL_004,13,90954.0,0.5376421630056952
ANL_004,14,89675.0,0.53008181022864
ANL_004,15,95675.0,0.5655486723571244
ANL_004,16,103301.0,0.610627054122428
ANL_004,17,99755.0,0.5896661386044938
ANL_004,18,112922.0,0.6674981675454528
ANL_004,19,107148.0,0.6333672238904746
ANL_004,20,114824.0,0.6787411628401824
ANL_004,21,121982.0,0.7210531293594643
ANL_004,22,126917.0,0.7502246234601426
ANL_004,23,122130.0,0.7219279786253002
ANL_004,24,129244.0,0.7639798548223066
ANL_004,25,131424.0,0.7768661480623226
ANL_004,26,138048.0,0.8160215638521694
ANL_004,27,129982.0,0.7683422788641101
ANL_004,28,133104.0,0.7867968694582982
ANL_004,29,141268.0,0.8350554465277893
ANL_004,30,149903.0,0.8860981722743665
ANL_004,31,157368.0,0.9302248599058891
ANL_004,32,150006.0,0.8867070200742387
ANL_004,33,154748.0,0.9147376634431176
ANL_004,34,169172.0,0.9999999999999941
ANL_004,35,162762.0,0.9621095689593966
ANL_004,36,168301.0,0.9948513938476758
ANL_005,1,64873.0,0.3096903239973825
ANL_005,2,65830.0,0.3142588446464275
ANL_005,3,68457.0,0.3267996009108383
ANL_005,4,70836.0,0.3381564563173984
ANL_005,5,70723.0,0.33761701762007124
ANL_005,6,81706.0,0.39004759472400125
ANL_005,7,78500.0,0.3747428118600115
ANL_005,8,84626.0,0.40398707256643734
ANL_005,9,85820.0,0.40968698234173484
ANL_005,10,96028.0,0.4584178692648813
ANL_005,11,92426.0,0.4412226640633557
ANL_005,12,99988.0,0.4773220926402399
ANL_005,13,110350.0,0.5267881438057614
ANL_005,14,108581.0,0.5183433026060116
ANL_005,15,114130.0,0.5448330843004218
ANL_005,16,113191.0,0.5403504919394466
ANL_005,17,119948.0,0.5726070165220976
ANL_005,18,128598.0,0.6139003327334237
ANL_005,19,130396.0,0.6224836139528416
ANL_005,20,131936.0,0.6298352563765921
ANL_005,21,130662.0,0.6237534430987621
ANL_005,22,138004.0,0.6588026370436819
ANL_005,23,157502.0,0.7518820681984144
ANL_005,24,152848.0,0.7296648319385864
ANL_005,25,156949.0,0.7492421602371585
ANL_005,26,156494.0,0.747070084066505
ANL_005,27,182547.0,0.8714417334599939
ANL_005,28,171206.0,0.817302138182231
ANL_005,29,161629.0,0.7715835151353095
ANL_005,30,177849.0,0.8490144502737731
ANL_005,31,180920.0,0.8636747709772392
ANL_005,32,191657.0,0.9149309948108818
ANL_005,33,198010.0,0.9452589067057436
ANL_005,34,186031.0,0.888073630995284
ANL_005,35,195165.0,0.9316774633969318
ANL_005,36,209477.0,0.9999999999999952
ANL_006,1,30421.0,0.3041552520546271
ANL_006,2,32809.0,0.32803095442819963
