model_name,metric_name,metric_value
Naive,MAE,1185.7282365661952
Naive,RMSE,748.6828153233369
Naive,MAPE,0.12538757949182058
ARIMA,MAE,1931.5732371993502
ARIMA,RMSE,819.8474286575778
ARIMA,MAPE,0.3829565811680403
Bass,MAE,859.5999532867418
Bass,RMSE,1710.5701090641978
Bass,MAPE,0.33484690193899236
Analog-Bass-Static,MAE,1281.9832192997887
Analog-Bass-Static,RMSE,1120.4764793920529
Analog-Bass-Static,MAPE,0.2877723614333821
Analog-Bass-Adaptive,MAE,1462.0454914014676
Analog-Bass-Adaptive,RMSE,778.0025467683741
Analog-Bass-Adaptive,MAPE,0.14325077089106175
