drug_id_1,drug_id_2,similarity
ANALOG_1,ANALOG_2,0.8019902141109002
ANALOG_1,ANALOG_3,0.7703006337279097
ANALOG_1,ANALOG_4,0.12176965238213266
ANALOG_1,ANALOG_5,0.26462930547528285
ANALOG_1,ANALOG_6,0.38520238563588793
ANALOG_1,ANALOG_7,0.46133566279513494
ANALOG_1,ANALOG_8,0.7763494579975986
ANALOG_1,ANALOG_9,0.5002594791406716
ANALOG_1,ANALOG_10,0.5150936082101125
ANALOG_1,NEW_DRUG_1,0.8129351555163122
ANALOG_1,NEW_DRUG_2,0.6309411603761542
ANALOG_1,NEW_DRUG_3,0.3916667807150851
ANALOG_1,NEW_DRUG_4,0.2837107779363459
ANALOG_1,NEW_DRUG_5,0.9209474154761708
ANALOG_2,ANALOG_3,0.006579413659715927
ANALOG_2,ANALOG_4,0.5422069823324054
ANALOG_2,ANALOG_5,0.0002870009356626957
ANALOG_2,ANALOG_6,0.6814417961945209
ANALOG_2,ANALOG_7,0.9809387526768042
ANALOG_2,ANALOG_8,0.20872981547217573
ANALOG_2,ANALOG_9,0.0458613880679587
ANALOG_2,ANALOG_10,0.6493362216233726
ANALOG_2,NEW_DRUG_1,0.3754363283138821
ANALOG_2,NEW_DRUG_2,0.48367868514677825
ANALOG_2,NEW_DRUG_3,0.37450373140653204
ANALOG_2,NEW_DRUG_4,0.28461556102362384
ANALOG_2,NEW_DRUG_5,0.18169868593688432
ANALOG_3,ANALOG_4,0.30112618693739746
ANALOG_3,ANALOG_5,0.7849795899933466
ANALOG_3,ANALOG_6,0.6878270881532196
ANALOG_3,ANALOG_7,0.7967499714995017
ANALOG_3,ANALOG_8,0.0005111012866152453
ANALOG_3,ANALOG_9,0.20569498329071212
ANALOG_3,ANALOG_10,0.08379247245840704
ANALOG_3,NEW_DRUG_1,0.6401277513960293
ANALOG_3,NEW_DRUG_2,0.7756091555538671
ANALOG_3,NEW_DRUG_3,0.17473183847857
ANALOG_3,NEW_DRUG_4,0.3256800420499938
ANALOG_3,NEW_DRUG_5,0.858513017739823
ANALOG_4,ANALOG_5,0.24794329538769377
ANALOG_4,ANALOG_6,0.42540916816532814
ANALOG_4,ANALOG_7,0.5553447129075283
ANALOG_4,ANALOG_8,0.8564426565351189
ANALOG_4,ANALOG_9,0.40114670943323205
ANALOG_4,ANALOG_10,0.9747043757477294
ANALOG_4,NEW_DRUG_1,0.0571218949644966
ANALOG_4,NEW_DRUG_2,0.18018748537853413
ANALOG_4,NEW_DRUG_3,0.47859565936232473
ANALOG_4,NEW_DRUG_4,0.18103875055866914
ANALOG_4,NEW_DRUG_5,0.15009853709857202
ANALOG_5,ANALOG_6,0.5106324204791125
ANALOG_5,ANALOG_7,0.5400747095107228
ANALOG_5,ANALOG_8,0.4068917291663048
ANALOG_5,ANALOG_9,0.90656749920583
ANALOG_5,ANALOG_10,0.9657735791716849
ANALOG_5,NEW_DRUG_1,0.2252202907697517
ANALOG_5,NEW_DRUG_2,0.024827091511519517
ANALOG_5,NEW_DRUG_3,0.9773743010156479
ANALOG_5,NEW_DRUG_4,0.5149171743970973
ANALOG_5,NEW_DRUG_5,0.04887034730299167
ANALOG_6,ANALOG_7,0.9680860483594464
ANALOG_6,ANALOG_8,0.8177450155365046
ANALOG_6,ANALOG_9,0.708052663915856
ANALOG_6,ANALOG_10,0.05813664219667092
ANALOG_6,NEW_DRUG_1,0.4363531713018739
ANALOG_6,NEW_DRUG_2,0.13981697735849097
ANALOG_6,NEW_DRUG_3,0.18876052562914447
ANALOG_6,NEW_DRUG_4,0.7310372874291786
ANALOG_6,NEW_DRUG_5,0.1900421875731617
ANALOG_7,ANALOG_8,0.4994702229446335
ANALOG_7,ANALOG_9,0.3796364223605593
ANALOG_7,ANALOG_10,0.3489965140851645
ANALOG_7,NEW_DRUG_1,0.0688782477057549
ANALOG_7,NEW_DRUG_2,0.8171687266795398
ANALOG_7,NEW_DRUG_3,0.809110054490435
ANALOG_7,NEW_DRUG_4,0.034317433659675434
