drug_id,similarity
ANL_014,0.548158255081374
ANL_022,0.5230649861092285
ANL_012,0.4524609896631392
ANL_008,0.43091136191791607
ANL_026,0.42325615118731985
ANL_019,0.35326128405107504
ANL_015,0.3434809278193516
ANL_024,0.33819706075235884
ANL_010,0.3051002868796413
ANL_017,0.3029341227878165
ANL_020,0.22424297378875835
ANL_029,0.2241444243080815
ANL_004,0.2026852772769292
ANL_023,0.1724713081882463
ANL_016,0.16899466270739077
ANL_034,0.09618292014373683
ANL_009,0.06214125407079191
ANL_033,0.04870966489589164
ANL_013,-0.0059308095554838625
ANL_031,-0.036261300171722896
ANL_032,-0.0688943801387005
ANL_006,-0.08531482852707849
ANL_027,-0.0932938344285418
ANL_018,-0.10242880180511364
ANL_030,-0.13296211878440306
ANL_005,-0.1348419452163538
ANL_007,-0.14649116665645145
ANL_002,-0.15619074417921838
ANL_021,-0.19053921532941137
ANL_028,-0.1996383215365072
ANL_011,-0.23058579080877248
ANL_003,-0.2469232681040136
ANL_025,-0.28623032884681376
ANL_001,-0.3025709555926558
ANL_035,-0.4126665344437277
