seed,drug_id,cutoff_month,forecast_start,forecast_end,model,top_analog,top_similarity,MASE,MAE,RMSE,MAPE,sMAPE,R2,Bias
93400,ANL_001,6,7,12,Naive,ANL_002,0.9999999999971108,1.5343141781320857,9969.666666666666,11521.947737542758,12.813528876172162,13.950457443382245,-2.979352397086532,-9969.666666666666
93400,ANL_001,6,7,12,Bass-only,ANL_002,0.9999999999971108,32.226837190311954,209403.54269520903,218153.46806506638,286.39444938837494,114.10388651945946,-1425.5429160304122,209403.54269520903
93400,ANL_001,6,7,12,Analog-only,ANL_002,0.9999999999971108,1.3381093087954363,8694.766666690986,9416.700863560189,11.566215149595287,10.83696516650615,-1.6580194075297392,8694.766666690986
93400,ANL_001,6,7,12,Analog + Bass (Static),ANL_002,0.9999999999971108,32.18340213882003,209121.3104176248,217866.89748969552,286.01086278140485,114.03769719889316,-1421.7975094533447,209121.3104176248
93400,ANL_001,6,7,12,Analog + Bass (Adaptive),ANL_002,0.9999999999971108,32.18340213882003,209121.3104176248,217866.89748969552,286.01086278140485,114.03769719889316,-1421.7975094533447,209121.3104176248
93400,ANL_001,9,10,15,Naive,ANL_002,0.9999999999971108,2.468686956965049,14123.666666666666,15989.133216031443,15.914825527431505,17.628335749588427,-3.551046133713987,-14123.666666666666
93400,ANL_001,9,10,15,Bass-only,ANL_002,0.9999999999971108,41.8872123029018,239641.97748643905,251785.52245924858,290.0319629967786,113.75315068976303,-1127.5554584616339,239641.97748643905
93400,ANL_001,9,10,15,Analog-only,ANL_002,0.9999999999971108,0.4573750792022699,2616.700000001086,3267.7537371395747,3.0879659928333263,3.1578354603799785,0.8099096649752597,-1765.2333333090137
93400,ANL_001,9,10,15,Analog + Bass (Static),ANL_002,0.9999999999971108,41.85487358421056,239456.96363446664,251597.13307195457,289.8099258860435,113.71521401530134,-1125.8672888543754,239456.96363446664
93400,ANL_001,9,10,15,Analog + Bass (Adaptive),ANL_002,0.9999999999971108,41.85487358421056,239456.96363446664,251597.13307195457,289.8099258860435,113.71521401530134,-1125.8672888543754,239456.96363446664
93400,ANL_001,12,13,18,Naive,ANL_002,0.9999999999971108,2.168004663311837,13355.5,15947.033512015121,12.851085081459582,14.117366664655192,-2.348866331655576,-13355.5
93400,ANL_001,12,13,18,Bass-only,ANL_002,0.9999999999971108,35.50668567028886,218730.8673705258,233424.72197102403,231.41442793455192,101.6548797195669,-716.5161816634159,218730.8673705258
93400,ANL_001,12,13,18,Analog-only,ANL_002,0.9999999999971108,2.4221438444736187,14921.066666642348,15044.485580635013,15.149878079427289,16.405667927588713,-1.9805244189557194,-14921.066666642348
93400,ANL_001,12,13,18,Analog + Bass (Static),ANL_002,0.9999999999971108,35.54926024559561,218993.1383656632,233691.52005473533,231.6884161364618,101.71503985565826,-718.157321825639,218993.1383656632
93400,ANL_001,12,13,18,Analog + Bass (Adaptive),ANL_002,0.9999999999971108,35.54926024559561,218993.1383656632,233691.52005473533,231.6884161364618,101.71503985565826,-718.157321825639,218993.1383656632
93400,ANL_001,18,19,24,Naive,ANL_002,0.9999999999971108,2.1918105476526586,11873.166666666666,12598.086197249697,9.671985452862597,10.222964422401493,-7.946705581520362,-11873.166666666666
93400,ANL_001,18,19,24,Bass-only,ANL_002,0.9999999999971108,22.223217322871395,120384.47548607217,135867.09143164443,101.09402640640998,62.57623729519349,-1039.5969568895755,120384.47548607217
93400,ANL_001,18,19,24,Analog-only,ANL_002,0.9999999999971108,6.971630651170086,37765.733333309014,37996.216543907605,31.239364571643826,37.169587947580744,-80.38318886809672,-37765.733333309014
93400,ANL_001,18,19,24,Analog + Bass (Static),ANL_002,0.9999999999971108,22.498170378233496,121873.9123606778,137355.681885571,102.33303236970744,63.120434664714566,-1062.52389822271,121873.9123606778
