seed,drug_id,cutoff_month,forecast_start,forecast_end,top_analog,top_similarity,analog_2,analog_3,analog_4,analog_5,MASE,MAE,RMSE,MAPE,sMAPE,R2,Bias
93400,ANL_001,6,7,12,ANL_005,0.5897186560642669,ANL_014,ANL_017,ANL_028,ANL_024,0.671579667316728,4363.790362290635,5169.746613946405,5.950431412871632,5.718077254826288,0.19887716060102545,3875.136162020853
93400,ANL_001,9,10,15,ANL_005,0.5897186560642669,ANL_014,ANL_017,ANL_028,ANL_024,1.6234267001002176,9287.827079610857,9777.251049620723,11.056149312253046,10.405143372547878,-0.7017467483357331,9287.827079610857
93400,ANL_001,12,13,18,ANL_005,0.5897186560642669,ANL_014,ANL_017,ANL_028,ANL_024,3.2398350895908066,19958.26774326744,20086.060519883264,20.317910411074312,18.428789815214387,-4.3128497408797895,19958.26774326744
93400,ANL_001,18,19,24,ANL_005,0.5897186560642669,ANL_014,ANL_017,ANL_028,ANL_024,8.832580466755301,47846.607951970334,48628.53564361443,39.264689956715436,32.71605137140451,-132.30191190657993,47846.607951970334
93400,ANL_002,6,7,12,ANL_016,0.5521034397865033,ANL_035,ANL_032,ANL_030,ANL_015,4.805186202307214,27687.482897694164,28163.372643082934,26.29438697589372,23.09887491037274,-3.790187751915015,27687.482897694164
93400,ANL_002,9,10,15,ANL_016,0.5521034397865033,ANL_035,ANL_032,ANL_030,ANL_015,4.343293791062866,30768.436127613222,31979.18978137859,24.50680099017966,21.507637393683996,-1.318883332839802,30768.436127613222
93400,ANL_002,12,13,18,ANL_016,0.5521034397865033,ANL_035,ANL_032,ANL_030,ANL_015,5.7203369111804445,44098.597278918336,44894.007813999,27.105879059036653,23.71182289431799,-4.598919539027555,44098.597278918336
93400,ANL_002,18,19,24,ANL_016,0.5521034397865033,ANL_035,ANL_032,ANL_030,ANL_015,7.060127876105447,71060.60237464111,71460.53312531771,30.968441502172624,26.771678929355424,-10.920423847106164,71060.60237464111
93400,ANL_003,6,7,12,ANL_033,0.5213366674440251,ANL_025,ANL_036,ANL_014,ANL_007,12.577700986950765,27047.088202338924,27177.927675791118,75.61128207851854,54.04070791907013,-11.179777796545064,27047.088202338924
93400,ANL_003,9,10,15,ANL_033,0.5213366674440251,ANL_025,ANL_036,ANL_014,ANL_007,10.2803511169207,28006.24653027122,28250.05225139096,55.81334187025803,42.838667848199535,-6.061885334271838,28006.24653027122
93400,ANL_003,12,13,18,ANL_033,0.5213366674440251,ANL_025,ANL_036,ANL_014,ANL_007,11.260996381498268,39464.67368243256,39490.1508434662,56.45576148689815,43.90442999370782,-14.498168355661015,39464.67368243256
93400,ANL_003,18,19,24,ANL_033,0.5213366674440251,ANL_025,ANL_036,ANL_014,ANL_007,9.70591454399772,42378.30664369263,42546.76923345913,37.40195432773314,31.38427719715265,-8.537655656449852,42378.30664369263
93400,ANL_004,6,7,12,ANL_020,0.5558287330442346,ANL_026,ANL_024,ANL_018,ANL_021,7.395423518922736,42677.510042999325,43009.04048328812,29.553194755547775,34.80838552311853,-39.34843832415461,-42677.510042999325
93400,ANL_004,9,10,15,ANL_020,0.5558287330442346,ANL_026,ANL_024,ANL_018,ANL_021,4.43635368568758,27950.69185246389,29021.187448582314,17.22282364408404,18.991890997023226,-5.255968657986447,-27950.69185246389
93400,ANL_004,12,13,18,ANL_020,0.5558287330442346,ANL_026,ANL_024,ANL_018,ANL_021,1.7817916368130253,12443.546848328493,15789.07085409817,6.79254589986795,7.125174203952407,-0.686160683603747,-8709.426889168119
93400,ANL_004,18,19,24,ANL_020,0.5558287330442346,ANL_026,ANL_024,ANL_018,ANL_021,3.2757516638644035,34855.73192498636,36413.96731421012,15.242407702485295,14.084319658170639,-3.8723210292324906,34855.73192498636
93400,ANL_005,6,7,12,ANL_001,0.5897186560642669,ANL_009,ANL_028,ANL_031,ANL_020,3.5778458161743956,17620.8906446589,18432.54111444344,15.042717783154652,13.859047665710792,-1.309730456972071,17620.8906446589
93400,ANL_005,9,10,15,ANL_001,0.5897186560642669,ANL_009,ANL_028,ANL_031,ANL_020,1.8705173224577445,8485.835647994865,9325.61009050014,6.085215021691695,5.862477212191748,0.35798609083210164,8485.835647994865
