drug_id,cutoff_month,forecast_horizon,model,top_analog,top_similarity,MASE,MAE,RMSE,MAPE,sMAPE,R2,Bias,seed
ANL_001,6,6,Analog-only,ANL_005,0.5897186560642669,1.4904745261447154,9684.805375983133,11468.669995237906,12.686320125976982,11.668026871900304,-2.9426362541586357,9679.350390993262,93400
ANL_001,6,6,Bass-only,ANL_005,0.5897186560642669,0.5672657366750434,3685.979303767097,4441.951522114387,4.983634738460383,4.895600879917402,0.4085633579319786,1881.9634167205343,93400
ANL_001,6,6,Analog + Bass (Static),ANL_005,0.5897186560642669,0.8517803604623919,5534.698426212531,6275.174969318184,7.376564968399658,7.0999297006772,-0.18035400449784067,4222.098302602954,93400
ANL_001,6,6,Analog + Bass (Adaptive),ANL_005,0.5897186560642669,0.9248210350236163,6009.302121376454,6775.440247925817,7.996510014448123,7.654582328553307,-0.37605450885782576,4884.522743980434,93400
ANL_001,9,6,Analog-only,ANL_005,0.5897186560642669,3.219021917186983,18416.42676596638,19075.030806391183,21.544809324581248,19.338923557435187,-5.477268381359359,18416.42676596638,93400
ANL_001,9,6,Bass-only,ANL_005,0.5897186560642669,1.567642397987194,8968.678114184486,10963.569073219956,9.96537664829686,10.716630799521033,-1.139761210195942,-8692.221879642348,93400
ANL_001,9,6,Analog + Bass (Static),ANL_005,0.5897186560642669,1.365234386122082,7810.6765773026955,8684.215761711694,9.104472201092129,8.618817153416886,-0.34252569412564715,7810.6765773026955,93400
ANL_001,9,6,Analog + Bass (Adaptive),ANL_005,0.5897186560642669,1.264672110563179,7235.347228545768,8153.483152866795,8.430652795304079,8.000637084004582,-0.18344410983028103,7235.347228545768,93400
ANL_001,12,6,Analog-only,ANL_005,0.5897186560642669,4.084584950223085,25162.157271087897,25645.810855991473,25.462860517615223,22.536618343641024,-7.661056452157686,25162.157271087897,93400
ANL_001,12,6,Bass-only,ANL_005,0.5897186560642669,1.1686975810095772,7199.495834722907,8706.840351687622,6.912262020172967,7.272224030380205,0.001704388125607137,-7067.408126747498,93400
ANL_001,12,6,Analog + Bass (Static),ANL_005,0.5897186560642669,2.653118535971909,16343.933759369496,17016.982436294795,16.38537895410451,15.095251269051188,-2.8133186783079163,16343.933759369496,93400
ANL_001,12,6,Analog + Bass (Adaptive),ANL_005,0.5897186560642669,3.030112688677103,18666.32055662059,19318.263430428622,18.738721865102605,17.083682029119345,-3.914441473613551,18666.32055662059,93400
ANL_001,18,6,Analog-only,ANL_005,0.5897186560642669,9.120795137512658,49407.8837772671,50458.743739946614,40.51454317655359,33.53904081096452,-142.5247709178896,49407.8837772671,93400
ANL_001,18,6,Bass-only,ANL_005,0.5897186560642669,1.112327486784891,6025.543426942389,7820.72130683085,4.864777242151861,4.677439557035782,-2.4478440563558257,6025.543426942389,93400
ANL_001,18,6,Analog + Bass (Static),ANL_005,0.5897186560642669,5.194624059411195,28139.584095951588,29859.061486188726,22.974194640796984,20.40351919411497,-49.25812717774836,28139.584095951588,93400
ANL_001,18,6,Analog + Bass (Adaptive),ANL_005,0.5897186560642669,5.6424885627760615,30565.692455649852,32224.37900001392,24.969908367987443,21.993821823860042,-57.536008934910704,30565.692455649852,93400
ANL_002,6,6,Analog-only,ANL_016,0.5521034397865032,5.912714182640526,34069.05912037471,35130.27720143223,31.803270301499214,27.276372875316056,-6.453261625825262,34069.05912037471,93400
ANL_002,6,6,Bass-only,ANL_016,0.5521034397865032,1.3919822539726172,8020.60174739022,9433.580907994748,7.1565559965968095,7.487553904731563,0.46255210039668215,-7048.675901502014,93400
ANL_002,6,6,Analog + Bass (Static),ANL_016,0.5521034397865032,3.0595488907685406,17629.12070860833,20916.443036520872,15.426665270881243,17.169449257924505,-1.6421585624357133,-16753.07021447738,93400
ANL_002,6,6,Analog + Bass (Adaptive),ANL_016,0.5521034397865032,2.9363341340229367,16919.15728024016,20085.059820435254,14.833471477521945,16.412943711865697,-1.4362927449939935,-15704.782602935105,93400
ANL_002,9,6,Analog-only,ANL_016,0.5521034397865032,6.050942022283665,42865.62965361027,43080.71358197381,32.85325695437887,28.127249692491947,-3.2083297560447352,42865.62965361027,93400
ANL_002,9,6,Bass-only,ANL_016,0.5521034397865032,1.7950328863001297,12716.237345660906,14251.596012640906,9.892232578416177,9.334756335396994,0.5394561445595687,12603.187074502615,93400
ANL_002,9,6,Analog + Bass (Static),ANL_016,0.5521034397865032,1.6764056147787183,11875.866925794287,15956.527460230247,8.063694289613329,8.56360158789067,0.4226744815239294,-9060.51896027613,93400
ANL_002,9,6,Analog + Bass (Adaptive),ANL_016,0.5521034397865032,1.615054834544575,11441.250329768087,15292.178608684928,7.836576396905786,8.267636719069342,0.4697475180313543,-7942.820245012078,93400
ANL_002,12,6,Analog-only,ANL_016,0.5521034397865032,6.4853282063653515,49995.984718161984,50938.375254277664,30.306563738823595,26.215946666550938,-6.20804762854561,49995.984718161984,93400
ANL_002,12,6,Bass-only,ANL_016,0.5521034397865032,2.4011471788388383,18510.661887775772,21311.723290792055,10.607861609524994,11.376608932917,-0.261724708919441,-18510.661887775772,93400
ANL_002,12,6,Analog + Bass (Static),ANL_016,0.5521034397865032,1.0398999510836229,8016.683259262839,8730.261367492958,4.784427914655359,4.818611313167179,0.7882702121056588,369.67646474950016,93400
