seed,drug_id,cutoff_month,p,q,m,fallback,start_config
93400,ANL_001,6,0.0013487430802305229,0.06076936632926803,32520099.99988378,False,"(0.02, 0.2)"
93400,ANL_001,9,0.019358842963302574,0.10012127694030235,2184869.3980335235,False,"(0.05, 0.2)"
93400,ANL_001,12,0.011392376179540628,0.07904166113937983,3812454.920633016,False,"(0.001, 0.05)"
93400,ANL_001,18,0.003350760985962972,0.05794611895988663,13438924.67800417,False,"(0.01, 0.1)"
93400,ANL_002,6,0.014523810215121098,0.1044637914350705,3535141.3211690006,False,"(0.05, 0.5)"
93400,ANL_002,9,0.0007100643500226072,0.08593207973453008,71201099.99999432,False,"(0.001, 0.05)"
93400,ANL_002,12,0.00815133695809033,0.09570443838430251,6274322.816037117,False,"(0.01, 0.3)"
93400,ANL_002,18,0.0031574336393143812,0.08455266227793351,16296600.591306088,False,"(0.05, 0.5)"
93400,ANL_003,6,0.004538875186713246,0.1340436290480577,2487819.566730166,False,"(0.01, 0.3)"
93400,ANL_003,9,0.0017587531676653667,0.13196958916078913,6371309.148975703,False,"(0.001, 0.05)"
93400,ANL_003,12,0.0003409826610190545,0.12466986579544136,33500099.99998505,False,"(0.02, 0.2)"
93400,ANL_003,18,0.0037057363531835326,0.14410373407694127,2892285.1399324858,False,"(0.01, 0.3)"
93400,ANL_004,6,0.0014521192079896394,0.04047450738716313,66642299.996759064,False,"(0.001, 0.05)"
93400,ANL_004,9,0.010977033778406219,0.06380681349042581,8561484.184290908,False,"(0.05, 0.2)"
93400,ANL_004,12,0.015904159621986172,0.07670233641731974,5802375.409664622,False,"(0.05, 0.5)"
93400,ANL_004,18,0.006307074634836347,0.05559241325124866,14978170.039290227,False,"(0.05, 0.2)"
93400,ANL_005,6,0.018020552591048487,0.08510139592538472,3976978.1912639635,False,"(0.005, 0.1)"
93400,ANL_005,9,0.023249202466587123,0.099842517768179,3030358.635624026,False,"(0.02, 0.2)"
93400,ANL_005,12,0.001957668658246339,0.056320279859681015,37295861.6772973,False,"(0.05, 0.5)"
93400,ANL_005,18,0.007242687662303581,0.07080092148720928,9782093.799641587,False,"(0.05, 0.2)"
93400,ANL_006,6,0.0014272779985283733,0.04524744097353448,78668699.99974622,False,"(0.05, 0.5)"
93400,ANL_006,9,0.0008948626533207303,0.043280238908592804,125664699.99996375,False,"(0.001, 0.05)"
93400,ANL_006,12,0.004212397287356952,0.05016360161840798,26458766.677535687,False,"(0.01, 0.3)"
93400,ANL_006,18,0.005152079909120991,0.05602983909599779,21172385.745364793,False,"(0.005, 0.1)"
93400,ANL_007,6,0.04660215604682854,0.20820057471904965,858562.6103747116,False,"(0.02, 0.2)"
93400,ANL_007,9,0.011508809157519178,0.0951508592909842,3882861.3653729972,False,"(0.02, 0.2)"
93400,ANL_007,12,0.0004628039237997931,0.084883226554846,92673499.99999999,False,"(0.01, 0.3)"
93400,ANL_007,18,0.002264675530925032,0.08934457092689106,18862784.815853402,False,"(0.005, 0.1)"
93400,ANL_008,6,0.0015044044899275293,0.030633779448706946,81438999.9863077,False,"(0.02, 0.2)"
93400,ANL_008,9,0.0009293459469591475,0.03607283136822298,129126599.99996433,False,"(0.01, 0.3)"
93400,ANL_008,12,0.0006381543899401435,0.040492156390892424,184100799.99999997,False,"(0.02, 0.2)"
93400,ANL_008,18,0.006050347896229386,0.054632241190105915,18822624.99021249,False,"(0.05, 0.5)"
93400,ANL_009,6,0.03281591801774519,0.10688689563423279,3931242.5705116405,False,"(0.005, 0.1)"
93400,ANL_009,9,0.019576762899318784,0.08199357786675722,6664818.430651919,False,"(0.02, 0.2)"
93400,ANL_009,12,0.007969456504639347,0.05283242605342435,17029051.71045654,False,"(0.01, 0.3)"
93400,ANL_009,18,0.00037217469411479105,0.040528153979603396,366516099.99991626,False,"(0.005, 0.1)"
93400,ANL_010,6,0.0011901675473725674,0.09438520751943165,30857099.999999993,False,"(0.05, 0.2)"
93400,ANL_010,9,0.0006721651031173688,0.09578411160397282,54135099.99994144,False,"(0.05, 0.2)"
93400,ANL_010,12,0.006277501433042383,0.10868314771118741,5732854.080381841,False,"(0.005, 0.1)"
93400,ANL_010,18,0.00022931520633873064,0.08412578357973527,168031899.98214582,False,"(0.01, 0.1)"
93400,ANL_011,6,0.010621318329250399,0.2840012919197358,2183739.41369917,False,"(0.001, 0.05)"
93400,ANL_011,9,0.0008891784515365473,0.22446862909124196,29140976.17714597,False,"(0.02, 0.2)"
93400,ANL_011,12,0.0034053925703137343,0.2282087484649642,7854649.6219227165,False,"(0.02, 0.2)"
93400,ANL_011,18,0.0035385768493114427,0.2290194703073033,7534590.119586503,False,"(0.005, 0.1)"
93400,ANL_012,6,0.0008593201705817809,0.1794943269654905,25075931.6005705,False,"(0.005, 0.1)"
93400,ANL_012,9,0.005803229675415332,0.19598199826779894,3634013.8417271487,False,"(0.05, 0.5)"
