step,period,predicted,actual,abs_error
3,4,7072.9298,8380.0,1307.0702
4,5,8909.6012,8028.0,881.6012
5,6,8439.4186,8904.0,464.5814
6,7,9197.3591,8714.0,483.3591
7,8,9040.5876,8966.0,74.5876
8,9,9123.5097,9868.0,744.4903
9,10,9764.8679,10776.0,1011.1321
10,11,10954.1443,10701.0,253.1443
11,12,11212.1636,11470.0,257.8364
12,13,11862.5436,11373.0,489.5436
13,14,11969.2787,12410.0,440.7213
14,15,12653.3434,12894.0,240.6566
15,16,13269.4711,12510.0,759.4711
16,17,13275.7654,14286.0,1010.2346
17,18,14242.9222,15290.0,1047.0778
18,19,15445.3779,15343.0,102.3779
19,20,16072.1397,15904.0,168.1397
