model,month,value,type
Naive,1,7318.0,known
ARIMA,1,7318.0,known
Analog_Only,1,7318.0,known
Bass_Only,1,7318.0,known
Analog_Bass_Static,1,7318.0,known
Analog_Bass_Adaptive,1,7318.0,known
Naive,2,9113.0,known
ARIMA,2,9113.0,known
Analog_Only,2,9113.0,known
Bass_Only,2,9113.0,known
Analog_Bass_Static,2,9113.0,known
Analog_Bass_Adaptive,2,9113.0,known
Naive,3,11346.0,known
ARIMA,3,11346.0,known
Analog_Only,3,11346.0,known
Bass_Only,3,11346.0,known
Analog_Bass_Static,3,11346.0,known
Analog_Bass_Adaptive,3,11346.0,known
Naive,4,13745.0,known
ARIMA,4,13745.0,known
Analog_Only,4,13745.0,known
Bass_Only,4,13745.0,known
Analog_Bass_Static,4,13745.0,known
Analog_Bass_Adaptive,4,13745.0,known
Naive,5,16511.0,known
ARIMA,5,16511.0,known
Analog_Only,5,16511.0,known
Bass_Only,5,16511.0,known
Analog_Bass_Static,5,16511.0,known
Analog_Bass_Adaptive,5,16511.0,known
Naive,6,16511.0,forecast
Naive,7,16511.0,forecast
Naive,8,16511.0,forecast
Naive,9,16511.0,forecast
Naive,10,16511.0,forecast
Naive,11,16511.0,forecast
Naive,12,16511.0,forecast
ARIMA,6,19030.9231,forecast
ARIMA,7,21326.6616,forecast
ARIMA,8,23418.1599,forecast
ARIMA,9,25323.5883,forecast
ARIMA,10,27059.5006,forecast
ARIMA,11,28640.9775,forecast
ARIMA,12,30081.7586,forecast
Analog_Only,6,19176.2345,forecast
Analog_Only,7,22237.455,forecast
Analog_Only,8,25112.3096,forecast
Analog_Only,9,28761.4507,forecast
Analog_Only,10,33093.3375,forecast
Analog_Only,11,38034.2448,forecast
Analog_Only,12,41103.123,forecast
Bass_Only,6,19437.0266,forecast
Bass_Only,7,22467.2957,forecast
Bass_Only,8,25484.1828,forecast
Bass_Only,9,28377.6728,forecast
Bass_Only,10,31055.1236,forecast
Bass_Only,11,33451.7512,forecast
Bass_Only,12,35534.08,forecast
Analog_Bass_Static,6,19437.0266,forecast
Analog_Bass_Static,7,22467.2958,forecast
Analog_Bass_Static,8,25484.1828,forecast
Analog_Bass_Static,9,28377.6729,forecast
Analog_Bass_Static,10,31055.1237,forecast
Analog_Bass_Static,11,33451.7512,forecast
Analog_Bass_Static,12,35534.0801,forecast
Analog_Bass_Adaptive,6,19437.0266,forecast
Analog_Bass_Adaptive,7,22467.2958,forecast
Analog_Bass_Adaptive,8,25484.1828,forecast
Analog_Bass_Adaptive,9,28377.6729,forecast
Analog_Bass_Adaptive,10,31055.1237,forecast
Analog_Bass_Adaptive,11,33451.7512,forecast
Analog_Bass_Adaptive,12,35534.0801,forecast
