held_out_drug,model,MAE,RMSE,MAPE,R2,MASE,Bias
ANL_001,Naive,15045.3667,17914.0728,35.9637,-2.3636,1.0,15016.8333
ANL_001,ARIMA,14864.8367,17751.61,35.4616,-2.3028,0.988,14823.3703
ANL_001,Analog_Only,8562.5157,9811.878,21.4084,-0.0091,0.5691,-8542.7014
ANL_001,Bass_Only,8412.8107,10914.2396,19.8393,-0.2485,0.5592,-8389.8454
ANL_001,Analog_Bass_Static,10322.7327,13715.4493,24.003,-0.9717,0.6861,-10300.677
ANL_001,Analog_Bass_Adaptive,10322.7327,13715.4493,24.003,-0.9717,0.6861,-10300.677
ANL_002,Naive,47542.7333,54493.077,42.4233,-3.1872,1.0,47542.7333
ANL_002,ARIMA,47569.7946,54516.695,42.4518,-3.1908,1.0006,47569.7946
ANL_002,Analog_Only,39145.3265,46206.5134,34.4215,-2.0106,0.8234,-39145.3265
ANL_002,Bass_Only,8901.1492,12940.4193,7.3871,0.7639,0.1872,-6985.2704
ANL_002,Analog_Bass_Static,9634.2147,14138.831,7.9398,0.7181,0.2026,-7853.1799
ANL_002,Analog_Bass_Adaptive,9634.2147,14138.831,7.9398,0.7181,0.2026,-7853.1799
ANL_003,Naive,260345.1667,300825.6841,69.9937,-2.9837,1.0,260345.1667
ANL_003,ARIMA,258792.4214,299471.9224,69.3715,-2.9479,0.994,258792.4214
ANL_003,Analog_Only,63322.0364,75269.863,16.6699,0.7506,0.2432,63322.0364
ANL_003,Bass_Only,93846.1968,118819.4965,22.6154,0.3785,0.3605,93825.9833
ANL_003,Analog_Bass_Static,93845.3255,118818.4366,22.6152,0.3785,0.3605,93825.1108
ANL_003,Analog_Bass_Adaptive,93845.3255,118818.4366,22.6152,0.3785,0.3605,93825.1108
ANL_004,Naive,74503.6667,87820.2377,42.7963,-2.5679,1.0,74503.6667
ANL_004,ARIMA,74489.5799,87808.2862,42.7862,-2.5669,0.9998,74489.5799
ANL_004,Analog_Only,60548.5741,68914.9364,36.0807,-1.1971,0.8127,-60548.5741
ANL_004,Bass_Only,12940.3057,19823.8644,6.9106,0.8182,0.1737,-11267.9949
ANL_004,Analog_Bass_Static,13270.2534,20381.7615,7.072,0.8078,0.1781,-11666.6682
ANL_004,Analog_Bass_Adaptive,13270.2534,20381.7615,7.072,0.8078,0.1781,-11666.6682
ANL_005,Naive,52343.4333,60103.0024,40.832,-3.1401,1.0,52343.4333
ANL_005,ARIMA,52355.4158,60113.441,40.843,-3.1415,1.0002,52355.4158
ANL_005,Analog_Only,39788.9652,47910.9729,30.3584,-1.6308,0.7602,-39498.0648
ANL_005,Bass_Only,34500.2584,42017.0331,25.9942,-1.0233,0.6591,34500.2584
ANL_005,Analog_Bass_Static,34497.9026,42014.4006,25.9923,-1.0231,0.6591,34497.9026
ANL_005,Analog_Bass_Adaptive,34497.9026,42014.4006,25.9923,-1.0231,0.6591,34497.9026
ANL_006,Naive,88966.9667,101584.0614,47.8115,-3.2922,1.0,88966.9667
ANL_006,ARIMA,88331.4085,101025.9025,47.4002,-3.2452,0.9929,88331.4085
ANL_006,Analog_Only,108051.5305,128142.9589,56.561,-5.83,1.2145,-108051.5305
ANL_006,Bass_Only,88211.8553,100873.182,47.3495,-3.2323,0.9915,88211.8553
ANL_006,Analog_Bass_Static,88211.9138,100873.2348,47.3496,-3.2323,0.9915,88211.9138
ANL_006,Analog_Bass_Adaptive,88211.9138,100873.2348,47.3496,-3.2323,0.9915,88211.9138
ANL_007,Naive,206381.0333,231698.859,71.9181,-3.8403,1.0,206381.0333
ANL_007,ARIMA,194794.6344,220806.4335,66.6746,-3.3959,0.9439,194562.2378
ANL_007,Analog_Only,112635.5472,125405.7733,39.7226,-0.4179,0.5458,112430.1847
ANL_007,Bass_Only,241930.9043,287395.9861,78.9495,-6.447,1.1723,-241930.9043
ANL_007,Analog_Bass_Static,700703.1672,902734.3072,213.7734,-72.4751,3.3952,-700703.1672
ANL_007,Analog_Bass_Adaptive,700703.1672,902734.3072,213.7734,-72.4751,3.3952,-700703.1672
ANL_008,Naive,132910.7333,156331.4687,37.1583,-2.5029,1.0,132146.0
ANL_008,ARIMA,130686.6793,154330.3124,36.4428,-2.4138,0.9833,129787.6542
ANL_008,Analog_Only,99482.0476,114070.5788,28.724,-0.865,0.7485,-99482.0476
