new_drug_id,analog_drug_id,new_drug_feature_A,new_drug_feature_B,analog_feature_A,analog_feature_B,similarity_score,engineered_feature_X_new,engineered_feature_Y_analog,target_sales_units
NEW_DRUG_1,ANALOG_7,75.97247548532025,7,86.76750102199571,1,0.0153658676498033,45.70897113910421,30.517441731567875,5198
NEW_DRUG_1,ANALOG_9,65.34421673876956,3,7.5499566828490465,2,0.22290240428814623,9.173625896041232,6.490156229197147,8145
NEW_DRUG_2,ANALOG_6,69.48975621564932,9,65.20613454564939,1,0.2724203807444443,41.82446284559086,23.57806879650337,4356
NEW_DRUG_2,ANALOG_1,80.50483771941194,1,26.838811518034056,7,0.8843450443384884,38.74516251113233,35.94475810960984,9786
NEW_DRUG_3,ANALOG_5,50.00945515930071,2,18.49261469542781,4,0.27070436653862495,25.80297041418593,0.959324252484689,9176
NEW_DRUG_3,ANALOG_7,48.4321605523987,3,0.5951357712312477,5,0.41380440927174766,38.40162338319499,5.265307783479639,7582
NEW_DRUG_4,ANALOG_8,34.571574091415016,2,9.124028808672136,2,0.15603925470212743,32.609824550200926,36.50361327209203,9337
NEW_DRUG_4,ANALOG_9,69.31850063048964,7,56.4444270057235,7,0.38026333257976586,22.449065542539977,42.59472610635691,9183
NEW_DRUG_5,ANALOG_10,29.8724195712065,7,19.715923954563586,7,0.0007132854737169625,46.55705594130724,29.48792143830851,4093
NEW_DRUG_5,ANALOG_2,0.48355732372828975,9,21.336650979296458,8,0.4737794845788317,6.274611002887448,22.60480265531106,3322
