drug_id,avg_sales_q1,peak_sales_month,sales_growth_rate,competitor_count
ANALOG_1,524.4510844132053,19,0.23856740770726167,8
ANALOG_2,1095.1044373074888,20,0.24669837069399406,3
ANALOG_3,1262.6006429382342,10,0.02870794404982943,3
ANALOG_4,754.7378112391674,4,0.2978389003836964,5
ANALOG_5,654.6270230166525,13,0.3498767110180909,8
ANALOG_6,773.0162232029936,17,0.13377980027767464,6
ANALOG_7,1010.9351232697543,3,0.18245087226032738,4
ANALOG_8,1407.1652855405923,15,0.015407055710701306,1
ANALOG_9,1225.2178979201226,12,0.06527883938048232,7
ANALOG_10,1079.0227838582327,17,0.10888058915514578,8
