drug_id,week,rx,rx_pct_of_peak
NEW_001,1,86824,0.6860791301530608
NEW_001,2,91738,0.7249093250942308
NEW_001,3,82416,0.651247323213566
NEW_001,4,86777,0.6857077383821543
NEW_001,5,102291,0.8082986305916192
NEW_001,6,94225,0.7445614811419902
NEW_001,7,85360,0.6745106715869491
NEW_001,8,91756,0.7250515602405354
NEW_001,9,93680,0.7402549169899882
NEW_001,10,100168,0.7915227852802428
NEW_001,11,99203,0.7838974010477989
NEW_001,12,92518,0.7310728481007657
NEW_001,13,90481,0.7149765707106226
NEW_001,14,102883,0.8129765865145278
NEW_001,15,104738,0.8276347085364794
NEW_001,16,107700,0.851040292056167
NEW_001,17,97921,0.7737670978498787
NEW_001,18,105789,0.8359396606901566
NEW_001,19,113417,0.8962157549130391
NEW_001,20,116702,0.922173669113638
NEW_001,21,99694,0.7877772597608869
NEW_001,22,126551,1.0
